2025-02-21 10:13:52 status unpacked libwebpdemux2:amd64 0.6.1-2.1+deb11u2
2025-02-21 10:13:52 install libwebpmux3:amd64 <none> 0.6.1-2.1+deb11u2
2025-02-21 10:13:52 status half-installed libwebpmux3:amd64 0.6.1-2.1+deb11u2
2025-02-21 10:13:53 status unpacked libwebpmux3:amd64 0.6.1-2.1+deb11u2
2025-02-21 10:13:53 install libxau6:amd64 <none> 1:1.0.9-1
2025-02-21 10:13:53 status half-installed libxau6:amd64 1:1.0.9-1
2025-02-21 10:13:53 status unpacked libxau6:amd64 1:1.0.9-1
2025-02-21 10:13:53 install libxdmcp6:amd64 <none> 1:1.1.2-3
2025-02-21 10:13:53 status half-installed libxdmcp6:amd64 1:1.1.2-3
2025-02-21 10:13:53 status unpacked libxdmcp6:amd64 1:1.1.2-3
2025-02-21 10:13:53 install libxcb1:amd64 <none> 1.14-3
2025-02-21 10:13:53 status half-installed libxcb1:amd64 1.14-3
2025-02-21 10:13:53 status unpacked libxcb1:amd64 1.14-3
2025-02-21 10:13:53 install libx11-data:all <none> 2:1.7.2-1+deb11u2
2025-02-21 10:13:53 status half-installed libx11-data:all 2:1.7.2-1+deb11u2
2025-02-21 10:13:53 status unpacked libx11-data:all 2:1.7.2-1+deb11u2
2025-02-21 10:13:53 install libx11-6:amd64 <none> 2:1.7.2-1+deb11u2
2025-02-21 10:13:53 status half-installed libx11-6:amd64 2:1.7.2-1+deb11u2
2025-02-21 10:13:54 status unpacked libx11-6:amd64 2:1.7.2-1+deb11u2
2025-02-21 10:13:54 install libxext6:amd64 <none> 2:1.3.3-1.1
2025-02-21 10:13:54 status half-installed libxext6:amd64 2:1.3.3-1.1
2025-02-21 10:13:54 status unpacked libxext6:amd64 2:1.3.3-1.1
2025-02-21 10:13:54 install imagemagick-6-common:all <none> 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 status half-installed imagemagick-6-common:all 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 status unpacked imagemagick-6-common:all 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 install libmagickcore-6.q16-6:amd64 <none> 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 status half-installed libmagickcore-6.q16-6:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 status unpacked libmagickcore-6.q16-6:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 install libmagickwand-6.q16-6:amd64 <none> 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:54 status half-installed libmagickwand-6.q16-6:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 status unpacked libmagickwand-6.q16-6:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 install hicolor-icon-theme:all <none> 0.17-2
2025-02-21 10:13:55 status half-installed hicolor-icon-theme:all 0.17-2
2025-02-21 10:13:55 status unpacked hicolor-icon-theme:all 0.17-2
2025-02-21 10:13:55 install imagemagick-6.q16:amd64 <none> 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 status half-installed imagemagick-6.q16:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 status unpacked imagemagick-6.q16:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 install imagemagick:amd64 <none> 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 status half-installed imagemagick:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:55 status unpacked imagemagick:amd64 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:56 startup packages configure
2025-02-21 10:13:56 configure liblcms2-2:amd64 2.12~rc1-2 <none>
2025-02-21 10:13:56 status unpacked liblcms2-2:amd64 2.12~rc1-2
2025-02-21 10:13:56 status half-configured liblcms2-2:amd64 2.12~rc1-2
2025-02-21 10:13:56 status installed liblcms2-2:amd64 2.12~rc1-2
2025-02-21 10:13:56 configure libxau6:amd64 1:1.0.9-1 <none>
2025-02-21 10:13:56 status unpacked libxau6:amd64 1:1.0.9-1
2025-02-21 10:13:56 status half-configured libxau6:amd64 1:1.0.9-1
2025-02-21 10:13:56 status installed libxau6:amd64 1:1.0.9-1
2025-02-21 10:13:56 configure imagemagick-6-common:all 8:6.9.11.60+dfsg-1.3+deb11u4 <none>
2025-02-21 10:13:56 status unpacked imagemagick-6-common:all 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:56 status half-configured imagemagick-6-common:all 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:56 status installed imagemagick-6-common:all 8:6.9.11.60+dfsg-1.3+deb11u4
2025-02-21 10:13:56 configure libxdmcp6:amd64 1:1.1.2-3 <none>
2025-02-21 10:13:56 status unpacked libxdmcp6:amd64 1:1.1.2-3
2025-02-21 10:13:56 status half-configured libxdmcp6:amd64 1:1.1.2-3
2025-02-21 10:13:56 status installed libxdmcp6:amd64 1:1.1.2-3
2025-02-21 10:13:56 configure libxcb1:amd64 1.14-3 <none>
2025-02-21 10:13:56 status unpacked libxcb1:amd64 1.14-3
2025-02-21 10:13:56 status half-configured libxcb1:amd64 1.14-3
2025-02-21 10:13:56 status installed libxcb1:amd64 1.14-3
2025-02-21 10:13:56 configure hicolor-icon-theme:all 0.17-2 <none>
2025-02-21 10:13:56 status unpacked hicolor-icon-theme:all 0.17-2
2025-02-21 10:13:56 status half-configured hicolor-icon-theme:all 0.17-2
2025-02-21 10:13:56 status installed hicolor-icon-theme:all 0.17-2
2025-02-21 10:13:56 configure libaom0:amd64 1.0.0.errata1-3+deb11u2 <none>
2025-02-21 10:13:56 status unpacked libaom0:amd64 1.0.0.errata1-3+deb11u2
2025-02-21 10:13:56 status half-configured libaom0:amd64 1.0.0.errata1-3+deb11u2
2025-02-21 10:13:56 status installed libaom0:amd64 1.0.0.errata1-3+deb11u2
2025-02-21 10:13:56 configure libdeflate0:amd64 1.7-1 <none>
2025-02-21 10:13:56 status unpacked libdeflate0:amd64 1.7-1
2025-02-21 10:13:56 status half-configured libdeflate0:amd64 1.7-1
2025-02-21 10:13:56 status installed libdeflate0:amd64 1.7-1
2025-02-21 10:13:56 configure libjbig0:amd64 2.1-3.1+b2 <none>
2025-02-21 10:13:56 status unpacked libjbig0:amd64 2.1-3.1+b2
2025-02-21 10:13:56 status half-configured libjbig0:amd64 2.1-3.1+b2
2025-02-21 10:13:56 status installed libjbig0:amd64 2.1-3.1+b2
2025-02-21 10:13:56 configure libjpeg62-turbo:amd64 1:2.0.6-4 <none>
